run_number,bias_V,offset,n_events,board_number,bond,energy,time,isTrack,power_mode,temperature,Multilayer_setup,Good run,Comment
374,245,8,5000,36,bb,3,mar. 12 mars 2024 22:18:02 UTC,,i4,0,FALSE,FALSE,
375,245,8,5000,36,bb,3,mar. 12 mars 2024 22:18:46 UTC,,i4,0,FALSE,TRUE,
376,245,8,5000,36,bb,3,mar. 12 mars 2024 22:19:25 UTC,,i4,0,FALSE,TRUE,
377,245,8,5000,36,bb,3,mar. 12 mars 2024 22:20:04 UTC,,i4,0,FALSE,TRUE,
378,245,8,5000,36,bb,3,mar. 12 mars 2024 22:20:42 UTC,,i4,0,FALSE,TRUE,
379,245,8,5000,36,bb,3,mar. 12 mars 2024 22:24:12 UTC,,i4,0,FALSE,TRUE,
380,245,8,5000,36,bb,3,mar. 12 mars 2024 22:26:03 UTC,,i4,0,FALSE,TRUE,
381,245,8,5000,36,bb,3,mar. 12 mars 2024 22:26:41 UTC,,i4,0,FALSE,TRUE,
382,245,8,5000,36,bb,3,mar. 12 mars 2024 22:27:20 UTC,,i4,0,FALSE,TRUE,
383,245,8,5000,36,bb,3,mar. 12 mars 2024 22:28:00 UTC,,i4,0,FALSE,TRUE,
384,245,8,5000,36,bb,3,mar. 12 mars 2024 22:28:39 UTC,,i4,0,FALSE,TRUE,
385,245,8,5000,36,bb,3,mar. 12 mars 2024 22:29:17 UTC,,i4,0,FALSE,TRUE,
386,245,8,5000,36,bb,3,mar. 12 mars 2024 22:29:56 UTC,,i4,0,FALSE,TRUE,
387,245,8,5000,36,bb,3,mar. 12 mars 2024 22:30:39 UTC,,i4,0,FALSE,TRUE,
388,245,8,5000,36,bb,3,mar. 12 mars 2024 22:31:18 UTC,,i4,0,FALSE,TRUE,
389,245,8,5000,36,bb,3,mar. 12 mars 2024 22:31:56 UTC,,i4,0,FALSE,TRUE,
390,245,8,5000,36,bb,3,mar. 12 mars 2024 22:32:35 UTC,,i4,0,FALSE,TRUE,
391,245,8,5000,36,bb,3,mar. 12 mars 2024 22:33:16 UTC,,i4,0,FALSE,TRUE,
392,245,8,5000,36,bb,3,mar. 12 mars 2024 22:33:56 UTC,,i4,0,FALSE,TRUE,
393,245,8,5000,36,bb,3,mar. 12 mars 2024 22:34:34 UTC,,i4,0,FALSE,TRUE,
394,245,8,5000,36,bb,3,mar. 12 mars 2024 22:35:13 UTC,,i4,0,FALSE,TRUE,
395,245,8,5000,36,bb,3,mar. 12 mars 2024 22:35:51 UTC,,i4,0,FALSE,TRUE,
396,245,8,5000,36,bb,3,mar. 12 mars 2024 22:36:33 UTC,,i4,0,FALSE,TRUE,
397,245,8,5000,36,bb,3,mar. 12 mars 2024 22:37:11 UTC,,i4,0,FALSE,TRUE,
398,245,8,5000,36,bb,3,mar. 12 mars 2024 22:37:49 UTC,,i4,0,FALSE,TRUE,
399,245,8,5000,36,bb,3,mar. 12 mars 2024 22:38:28 UTC,,i4,0,FALSE,TRUE,
400,245,8,5000,36,bb,3,mar. 12 mars 2024 22:39:11 UTC,,i4,0,FALSE,TRUE,
401,245,8,5000,36,bb,3,mar. 12 mars 2024 22:39:50 UTC,,i4,0,FALSE,TRUE,
402,245,8,5000,36,bb,3,mar. 12 mars 2024 22:40:29 UTC,,i4,0,FALSE,TRUE,
403,245,8,5000,36,bb,3,mar. 12 mars 2024 22:41:07 UTC,,i4,0,FALSE,TRUE,
404,245,8,5000,36,bb,3,mar. 12 mars 2024 22:41:49 UTC,,i4,0,FALSE,TRUE,
405,245,8,5000,36,bb,3,mar. 12 mars 2024 22:42:30 UTC,,i4,0,FALSE,TRUE,
406,245,8,5000,36,bb,3,mar. 12 mars 2024 22:43:08 UTC,,i4,0,FALSE,TRUE,
407,245,8,5000,36,bb,3,mar. 12 mars 2024 22:43:47 UTC,,i4,0,FALSE,TRUE,
408,245,8,5000,36,bb,3,mar. 12 mars 2024 22:44:25 UTC,,i4,0,FALSE,TRUE,
409,245,8,5000,36,bb,3,mar. 12 mars 2024 22:45:08 UTC,,i4,0,FALSE,TRUE,
410,245,8,5000,36,bb,3,mar. 12 mars 2024 22:45:48 UTC,,i4,0,FALSE,TRUE,
411,245,8,5000,36,bb,3,mar. 12 mars 2024 22:46:26 UTC,,i4,0,FALSE,TRUE,
412,245,8,5000,36,bb,3,mar. 12 mars 2024 22:47:04 UTC,,i4,0,FALSE,TRUE,
414,245,8,5000,36,bb,3,mar. 12 mars 2024 22:48:24 UTC,,i4,0,FALSE,TRUE,
415,245,8,5000,36,bb,3,mar. 12 mars 2024 22:49:03 UTC,,i4,0,FALSE,TRUE,
416,245,8,5000,36,bb,3,mar. 12 mars 2024 22:49:41 UTC,,i4,0,FALSE,TRUE,
417,245,8,5000,36,bb,3,mar. 12 mars 2024 22:50:20 UTC,,i4,0,FALSE,TRUE,
418,245,8,5000,36,bb,3,mar. 12 mars 2024 22:51:03 UTC,,i4,0,FALSE,TRUE,
419,245,8,5000,36,bb,3,mar. 12 mars 2024 22:51:41 UTC,,i4,0,FALSE,TRUE,
420,245,8,5000,36,bb,3,mar. 12 mars 2024 22:52:20 UTC,,i4,0,FALSE,TRUE,
421,245,8,5000,36,bb,3,mar. 12 mars 2024 22:52:58 UTC,,i4,0,FALSE,TRUE,
422,245,8,5000,36,bb,3,mar. 12 mars 2024 22:53:41 UTC,,i4,0,FALSE,TRUE,
423,245,8,5000,36,bb,3,mar. 12 mars 2024 22:54:20 UTC,,i4,0,FALSE,TRUE,
424,245,8,5000,36,bb,3,mar. 12 mars 2024 22:54:59 UTC,,i4,0,FALSE,TRUE,
425,245,8,5000,36,bb,3,mar. 12 mars 2024 22:55:37 UTC,,i4,0,FALSE,TRUE,
426,245,8,5000,36,bb,3,mar. 12 mars 2024 22:56:16 UTC,,i4,0,FALSE,TRUE,
427,245,8,5000,36,bb,3,mar. 12 mars 2024 22:56:59 UTC,,i4,0,FALSE,TRUE,
428,245,8,5000,36,bb,3,mar. 12 mars 2024 22:57:38 UTC,,i4,0,FALSE,TRUE,
429,245,8,5000,36,bb,3,mar. 12 mars 2024 22:58:16 UTC,,i4,0,FALSE,TRUE,
430,245,8,5000,36,bb,3,mar. 12 mars 2024 22:58:54 UTC,,i4,0,FALSE,TRUE,
431,245,8,5000,36,bb,3,mar. 12 mars 2024 22:59:37 UTC,,i4,0,FALSE,TRUE,
432,245,8,5000,36,bb,3,mar. 12 mars 2024 23:00:16 UTC,,i4,0,FALSE,TRUE,
433,245,8,5000,36,bb,3,mar. 12 mars 2024 23:00:54 UTC,,i4,0,FALSE,TRUE,
434,245,8,5000,36,bb,3,mar. 12 mars 2024 23:01:33 UTC,,i4,0,FALSE,TRUE,
435,245,8,5000,36,bb,3,mar. 12 mars 2024 23:02:13 UTC,,i4,0,FALSE,TRUE,
436,245,8,5000,36,bb,3,mar. 12 mars 2024 23:02:56 UTC,,i4,0,FALSE,TRUE,
437,245,8,5000,36,bb,3,mar. 12 mars 2024 23:03:35 UTC,,i4,0,FALSE,TRUE,
438,245,8,5000,36,bb,3,mar. 12 mars 2024 23:04:13 UTC,,i4,0,FALSE,TRUE,
439,245,8,5000,36,bb,3,mar. 12 mars 2024 23:04:51 UTC,,i4,0,FALSE,TRUE,
440,245,8,5000,36,bb,3,mar. 12 mars 2024 23:05:35 UTC,,i4,0,FALSE,TRUE,
441,245,8,5000,36,bb,3,mar. 12 mars 2024 23:06:14 UTC,,i4,0,FALSE,TRUE,
442,245,8,5000,36,bb,3,mar. 12 mars 2024 23:06:53 UTC,,i4,0,FALSE,TRUE,
443,245,8,5000,36,bb,3,mar. 12 mars 2024 23:07:31 UTC,,i4,0,FALSE,TRUE,
444,245,8,5000,36,bb,3,mar. 12 mars 2024 23:08:10 UTC,,i4,0,FALSE,TRUE,
445,245,8,5000,36,bb,3,mar. 12 mars 2024 23:08:51 UTC,,i4,0,FALSE,TRUE,
446,245,8,5000,36,bb,3,mar. 12 mars 2024 23:09:29 UTC,,i4,0,FALSE,TRUE,
447,245,8,5000,36,bb,3,mar. 12 mars 2024 23:10:07 UTC,,i4,0,FALSE,TRUE,
448,245,8,5000,36,bb,3,mar. 12 mars 2024 23:10:46 UTC,,i4,0,FALSE,TRUE,
449,245,8,5000,36,bb,3,mar. 12 mars 2024 23:11:30 UTC,,i4,0,FALSE,TRUE,
450,245,8,5000,36,bb,3,mar. 12 mars 2024 23:12:09 UTC,,i4,0,FALSE,TRUE,
451,245,8,5000,36,bb,3,mar. 12 mars 2024 23:12:47 UTC,,i4,0,FALSE,TRUE,
452,245,8,5000,36,bb,3,mar. 12 mars 2024 23:13:26 UTC,,i4,0,FALSE,TRUE,
453,245,8,5000,36,bb,3,mar. 12 mars 2024 23:14:05 UTC,,i4,0,FALSE,TRUE,
454,245,8,5000,36,bb,3,mar. 12 mars 2024 23:14:49 UTC,,i4,0,FALSE,TRUE,
455,245,8,5000,36,bb,3,mar. 12 mars 2024 23:15:27 UTC,,i4,0,FALSE,TRUE,
456,245,8,5000,36,bb,3,mar. 12 mars 2024 23:16:06 UTC,,i4,0,FALSE,TRUE,
457,245,8,5000,36,bb,3,mar. 12 mars 2024 23:16:44 UTC,,i4,0,FALSE,TRUE,
458,245,8,5000,36,bb,3,mar. 12 mars 2024 23:17:26 UTC,,i4,0,FALSE,TRUE,
459,245,8,5000,36,bb,3,mar. 12 mars 2024 23:18:06 UTC,,i4,0,FALSE,TRUE,
460,245,8,5000,36,bb,3,mar. 12 mars 2024 23:18:44 UTC,,i4,0,FALSE,TRUE,
461,245,8,5000,36,bb,3,mar. 12 mars 2024 23:19:23 UTC,,i4,0,FALSE,TRUE,
462,245,8,5000,36,bb,3,mar. 12 mars 2024 23:20:02 UTC,,i4,0,FALSE,TRUE,
463,245,8,5000,36,bb,3,mar. 12 mars 2024 23:20:45 UTC,,i4,0,FALSE,TRUE,
464,245,8,5000,36,bb,3,mar. 12 mars 2024 23:21:24 UTC,,i4,0,FALSE,TRUE,
465,245,8,5000,36,bb,3,mar. 12 mars 2024 23:22:03 UTC,,i4,0,FALSE,TRUE,
466,245,8,5000,36,bb,3,mar. 12 mars 2024 23:22:41 UTC,,i4,0,FALSE,TRUE,
467,245,8,5000,36,bb,3,mar. 12 mars 2024 23:23:21 UTC,,i4,0,FALSE,TRUE,
468,245,8,5000,36,bb,3,mar. 12 mars 2024 23:24:03 UTC,,i4,0,FALSE,TRUE,
469,245,8,5000,36,bb,3,mar. 12 mars 2024 23:24:42 UTC,,i4,0,FALSE,TRUE,
470,245,8,5000,36,bb,3,mar. 12 mars 2024 23:25:20 UTC,,i4,0,FALSE,TRUE,
471,245,8,5000,36,bb,3,mar. 12 mars 2024 23:25:58 UTC,,i4,0,FALSE,TRUE,
472,245,8,5000,36,bb,3,mar. 12 mars 2024 23:26:42 UTC,,i4,0,FALSE,TRUE,
473,245,8,5000,36,bb,3,mar. 12 mars 2024 23:27:20 UTC,,i4,0,FALSE,TRUE,
474,245,8,5000,36,bb,3,mar. 12 mars 2024 23:27:59 UTC,,i4,0,FALSE,TRUE,
475,245,8,5000,36,bb,3,mar. 12 mars 2024 23:28:37 UTC,,i4,0,FALSE,TRUE,
476,245,8,5000,36,bb,3,mar. 12 mars 2024 23:29:20 UTC,,i4,0,FALSE,TRUE,
477,245,8,5000,36,bb,3,mar. 12 mars 2024 23:30:00 UTC,,i4,0,FALSE,TRUE,
478,245,8,5000,36,bb,3,mar. 12 mars 2024 23:30:39 UTC,,i4,0,FALSE,TRUE,
479,245,8,5000,36,bb,3,mar. 12 mars 2024 23:31:17 UTC,,i4,0,FALSE,TRUE,
480,245,8,5000,36,bb,3,mar. 12 mars 2024 23:40:25 UTC,,i4,0,FALSE,TRUE,
481,245,8,5000,36,bb,3,mar. 12 mars 2024 23:41:03 UTC,,i4,0,FALSE,TRUE,
482,245,8,5000,36,bb,3,mar. 12 mars 2024 23:41:41 UTC,,i4,0,FALSE,TRUE,
483,245,8,5000,36,bb,3,mar. 12 mars 2024 23:42:25 UTC,,i4,0,FALSE,TRUE,
484,245,8,5000,36,bb,3,mar. 12 mars 2024 23:43:04 UTC,,i4,0,FALSE,TRUE,
485,245,8,5000,36,bb,3,mar. 12 mars 2024 23:43:42 UTC,,i4,0,FALSE,TRUE,
486,245,8,5000,36,bb,3,mar. 12 mars 2024 23:44:21 UTC,,i4,0,FALSE,TRUE,
487,245,8,5000,36,bb,3,mar. 12 mars 2024 23:45:03 UTC,,i4,0,FALSE,TRUE,
488,245,8,5000,36,bb,3,mar. 12 mars 2024 23:45:42 UTC,,i4,0,FALSE,TRUE,
489,245,8,5000,36,bb,3,mar. 12 mars 2024 23:46:20 UTC,,i4,0,FALSE,TRUE,
490,245,8,5000,36,bb,3,mar. 12 mars 2024 23:49:26 UTC,,i4,0,FALSE,TRUE,
491,245,8,5000,36,bb,3,mar. 12 mars 2024 23:50:04 UTC,,i4,0,FALSE,TRUE,
492,245,8,5000,36,bb,3,mar. 12 mars 2024 23:50:43 UTC,,i4,0,FALSE,TRUE,
493,245,8,5000,36,bb,3,mar. 12 mars 2024 23:51:21 UTC,,i4,0,FALSE,TRUE,
494,245,8,5000,36,bb,3,mar. 12 mars 2024 23:52:04 UTC,,i4,0,FALSE,TRUE,
495,245,8,5000,36,bb,3,mar. 12 mars 2024 23:52:43 UTC,,i4,0,FALSE,TRUE,
496,245,8,5000,36,bb,3,mar. 12 mars 2024 23:53:21 UTC,,i4,0,FALSE,TRUE,
497,245,8,5000,36,bb,3,mar. 12 mars 2024 23:53:59 UTC,,i4,0,FALSE,TRUE,
498,245,8,5000,36,bb,3,mar. 12 mars 2024 23:54:43 UTC,,i4,0,FALSE,TRUE,
